flight_id,flight_duration,passenger_count,adult_passengers,child_passengers,business_class_ratio,is_international,total_food_demand
1,5.33,232,173,59,0.16,0,245
2,7.26,145,124,21,0.12,1,162
3,10.69,85,82,3,0.03,1,121
4,4.74,163,149,14,0.12,0,180
5,10.57,86,69,17,0.22,0,126
6,1.97,289,236,53,0.28,0,324
7,9.54,63,53,10,0.08,0,83
8,10.63,204,163,41,0.11,1,244
9,3.0,172,140,32,0.05,0,184
10,6.87,132,98,34,0.21,1,156
11,2.82,208,172,36,0.29,0,243
12,9.36,287,220,67,0.19,1,325
13,7.82,122,113,9,0.19,1,154
14,7.99,151,121,30,0.17,0,187
15,3.16,130,95,35,0.03,0,126
16,3.33,132,117,15,0.22,0,151
17,1.46,93,72,21,0.18,0,101
18,4.54,117,92,25,0.2,0,137
19,7.16,97,96,1,0.27,0,122
20,10.44,106,88,18,0.24,0,146
21,8.34,124,120,4,0.23,0,153
22,5.79,71,51,20,0.28,0,86
23,11.48,181,137,44,0.3,0,227
24,8.91,258,250,8,0.17,0,311
25,11.23,249,240,9,0.03,0,292
26,7.75,95,79,16,0.14,1,121
27,3.85,236,212,24,0.24,0,268
28,1.58,211,209,2,0.01,0,217
29,8.99,60,51,9,0.02,0,83
30,2.33,80,71,9,0.02,0,93
31,4.33,188,183,5,0.22,0,213
32,6.86,169,129,40,0.15,0,197
33,7.21,295,215,80,0.11,0,307
34,8.41,105,82,23,0.03,1,121
35,4.5,87,66,21,0.22,1,104
36,6.42,294,275,19,0.1,1,324
37,7.79,70,65,5,0.08,0,92
38,11.67,159,150,9,0.2,0,204
39,9.0,143,111,32,0.17,0,172
40,11.15,187,134,53,0.11,0,207
41,9.38,203,160,43,0.19,0,241
42,7.51,268,198,70,0.08,0,288
43,3.11,185,150,35,0.24,0,215
44,9.0,280,248,32,0.07,1,316
45,7.86,57,50,7,0.05,0,79
46,7.63,237,232,5,0.23,0,290
47,6.39,121,120,1,0.21,0,150
48,6.82,168,133,35,0.05,0,175
49,4.68,83,73,10,0.03,0,99
50,6.71,300,251,49,0.25,0,349
51,4.78,193,161,32,0.23,1,221
52,10.25,154,142,12,0.1,1,185
53,4.67,190,163,27,0.2,1,218
54,3.76,136,117,19,0.04,1,143
55,5.8,253,224,29,0.15,0,283
56,8.92,268,203,65,0.01,1,275
57,5.81,199,173,26,0.12,0,217
58,4.04,273,224,49,0.02,0,270
59,7.14,298,218,80,0.14,0,332
60,4.82,290,215,75,0.13,0,307
61,11.26,204,150,54,0.13,0,241
62,11.15,113,104,9,0.01,0,135
63,7.52,51,51,0,0.11,1,72
64,4.61,158,146,12,0.23,0,189
65,9.11,274,252,22,0.11,0,315
66,1.4,75,55,20,0.21,0,80
67,6.22,269,217,52,0.11,0,287
68,6.03,132,129,3,0.13,1,152
69,11.13,156,150,6,0.17,0,196
70,3.11,118,113,5,0.29,1,137
71,7.98,146,119,27,0.03,1,156
72,9.15,261,204,57,0.01,0,276
73,6.34,79,59,20,0.18,0,102
74,3.77,286,206,80,0.28,1,314
75,11.75,57,54,3,0.3,1,91
76,7.66,87,79,8,0.15,1,111
77,8.53,238,221,17,0.14,1,282
78,3.6,130,117,13,0.19,0,135
79,6.32,157,114,43,0.17,0,180
80,5.72,114,95,19,0.19,0,139
81,3.67,116,91,25,0.26,1,132
82,2.17,223,191,32,0.22,0,245
83,10.21,139,138,1,0.15,0,177
84,3.64,144,142,2,0.14,0,163
85,3.14,121,102,19,0.19,0,146
86,6.55,92,73,19,0.14,0,112
87,9.92,236,221,15,0.14,1,279
88,1.68,95,75,20,0.0,0,98
89,8.19,249,189,60,0.05,1,268
90,2.31,174,153,21,0.15,0,185
91,1.4,212,165,47,0.25,0,234
92,3.47,88,78,10,0.08,1,98
93,10.51,269,215,54,0.16,1,303
94,2.3,100,78,22,0.1,0,111
95,3.41,53,38,15,0.03,1,50
96,5.82,170,153,17,0.29,0,213
97,10.28,129,114,15,0.26,0,158
98,3.89,126,120,6,0.02,0,136
99,5.64,261,246,15,0.22,0,306
100,1.44,228,181,47,0.1,0,228
101,5.94,182,132,50,0.3,0,217
102,7.35,104,92,12,0.09,0,127
103,7.28,278,264,14,0.07,0,305
104,4.66,69,64,5,0.17,0,84
105,5.84,201,174,27,0.25,1,233
106,2.17,213,195,18,0.06,0,214
107,5.03,83,78,5,0.21,0,103
108,3.9,171,134,37,0.02,1,180
109,9.43,158,158,0,0.28,0,202
110,11.63,175,147,28,0.02,0,199
111,11.67,289,221,68,0.27,0,352
112,10.52,103,95,8,0.15,0,135
113,8.41,211,173,38,0.13,1,240
114,9.31,260,208,52,0.29,1,314
115,4.14,194,156,38,0.3,0,226
116,8.68,182,158,24,0.2,1,221
117,7.1,138,124,14,0.04,1,161
118,6.3,195,147,48,0.15,0,221
119,9.82,232,180,52,0.16,1,270
120,4.1,102,93,9,0.15,0,108
121,5.86,99,96,3,0.17,1,116
122,11.32,121,119,2,0.01,1,147
123,1.62,268,261,7,0.21,0,295
124,6.34,256,212,44,0.21,0,287
125,11.04,222,219,3,0.03,0,257
126,7.71,190,171,19,0.17,0,223
127,7.92,65,51,14,0.17,1,87
128,5.25,263,240,23,0.2,1,297
129,4.78,261,202,59,0.03,0,264
130,10.37,62,49,13,0.19,0,91
131,7.15,69,64,5,0.08,0,96
132,6.66,115,90,25,0.15,0,127
133,2.1,276,215,61,0.23,0,308
134,1.18,96,85,11,0.21,0,119
135,11.67,296,278,18,0.04,1,334
136,5.15,196,166,30,0.18,0,216
137,7.64,222,161,61,0.29,0,259
138,3.72,214,173,41,0.05,1,226
139,8.51,171,163,8,0.26,0,212
140,11.39,103,82,21,0.21,1,136
141,8.18,55,48,7,0.23,1,80
142,2.39,63,52,11,0.08,0,64
143,7.4,181,142,39,0.09,0,200
144,9.43,135,115,20,0.27,0,167
145,5.47,292,221,71,0.11,0,312
146,10.68,232,182,50,0.02,0,247
147,8.14,280,229,51,0.18,0,316
148,10.89,277,265,12,0.04,0,306
149,7.86,211,159,52,0.24,0,248
150,2.44,76,55,21,0.19,0,90
151,5.79,56,54,2,0.26,1,79
152,3.22,180,154,26,0.24,0,201
153,11.0,224,207,17,0.03,0,249
154,9.36,274,212,62,0.11,0,312
155,9.09,51,40,11,0.23,1,83
156,4.31,283,272,11,0.13,0,309
157,3.02,129,96,33,0.29,0,146
158,9.81,202,192,10,0.22,1,240
159,6.22,109,83,26,0.0,0,125
160,5.03,256,221,35,0.26,1,292
161,7.78,73,66,7,0.03,0,98
162,1.44,64,61,3,0.04,0,73
163,4.59,144,137,7,0.22,0,177
164,6.15,191,154,37,0.26,0,228
165,2.63,231,193,38,0.16,0,248
166,11.86,255,246,9,0.09,1,295
167,3.3,183,177,6,0.11,0,201
168,2.43,255,250,5,0.1,0,272
169,3.24,130,101,29,0.1,0,131
170,9.46,67,53,14,0.07,0,80
171,5.68,69,68,1,0.18,0,94
172,7.22,164,137,27,0.27,0,198
173,1.23,239,233,6,0.09,0,257
174,1.38,258,189,69,0.06,0,254
175,5.9,257,188,69,0.25,0,291
176,9.98,89,71,18,0.22,0,125
177,10.74,88,64,24,0.28,0,131
178,1.95,229,174,55,0.05,0,228
179,7.85,81,61,20,0.04,1,94
180,11.05,173,144,29,0.16,0,215
181,5.27,157,143,14,0.18,0,181
182,10.13,250,234,16,0.14,0,288
183,4.2,76,69,7,0.18,1,90
184,11.42,159,130,29,0.05,1,183
185,9.27,229,218,11,0.14,0,270
186,11.35,146,135,11,0.2,0,181
